open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2026-07-18 11:00:00+00:00,77255.1,77757.5,77241.5,77599.9,12046.144,2026-07-18 11:59:59.999000+00:00,933297922.4,254016,6191.683,479761564.7,0
2026-07-18 12:00:00+00:00,77599.9,77601.9,76650.0,76914.0,14647.288,2026-07-18 12:59:59.999000+00:00,1128500082.0,355031,6777.458,522130297.2,0
2026-07-18 13:00:00+00:00,76913.9,76927.5,76200.0,76369.8,19478.281,2026-07-18 13:59:59.999000+00:00,1490724158.0,446414,8763.318,670774905.7,0
2026-07-18 14:00:00+00:00,76369.7,76463.6,76014.2,76393.5,15564.299,2026-07-18 14:59:59.999000+00:00,1186236540.0,364018,7672.497,584813547.8,0
2026-07-18 15:00:00+00:00,76393.6,76657.1,76174.1,76377.3,11404.463,2026-07-18 15:59:59.999000+00:00,871462418.1,247675,5638.838,430954945.4,0
2026-07-18 16:00:00+00:00,76377.3,76725.7,76332.1,76671.1,4384.489,2026-07-18 16:59:59.999000+00:00,335815601.3,132536,2351.384,180098624.5,0
2026-07-18 17:00:00+00:00,76671.0,76674.4,76107.7,76221.6,6729.802,2026-07-18 17:59:59.999000+00:00,513491933.8,177600,3314.051,252799740.9,0
2026-07-18 18:00:00+00:00,76221.6,76963.7,76200.0,76898.5,11367.93,2026-07-18 18:59:59.999000+00:00,872015806.7,289108,6049.575,464132080.5,0
2026-07-18 19:00:00+00:00,76898.5,77160.3,76829.3,76868.1,6224.955,2026-07-18 19:59:59.999000+00:00,479269492.7,115494,2772.827,213534240.4,0
2026-07-18 20:00:00+00:00,76868.1,77149.7,76753.6,77063.1,3535.747,2026-07-18 20:59:59.999000+00:00,272059196.8,84908,1735.586,133563627.1,0
2026-07-18 21:00:00+00:00,77063.1,77187.3,76894.6,77045.1,4653.374,2026-07-18 21:59:59.999000+00:00,358509110.3,91366,2159.209,166375866.3,0
2026-07-18 22:00:00+00:00,77045.0,77133.4,76900.1,76963.2,2322.727,2026-07-18 22:59:59.999000+00:00,178884729.5,57095,1066.4,82134617.0,0
2026-07-18 23:00:00+00:00,76963.2,77384.6,76913.8,77102.6,4592.602,2026-07-18 23:59:59.999000+00:00,354387922.5,120362,2518.824,194386424.0,0
2026-07-19 00:00:00+00:00,77102.6,77122.7,76634.0,76635.4,5818.494,2026-07-19 00:59:59.999000+00:00,447028141.7,137339,2542.432,195312659.9,0
2026-07-19 01:00:00+00:00,76635.4,76973.7,76451.3,76586.2,4745.72,2026-07-19 01:59:59.999000+00:00,363975778.1,129694,2488.682,190894868.2,0
2026-07-19 02:00:00+00:00,76586.2,76837.0,76550.0,76749.9,2677.159,2026-07-19 02:59:59.999000+00:00,205398613.8,73055,1399.771,107398743.0,0
2026-07-19 03:00:00+00:00,76750.0,76916.5,76658.0,76889.4,2587.324,2026-07-19 03:59:59.999000+00:00,198688485.0,71643,1331.99,102295532.1,0
2026-07-19 04:00:00+00:00,76889.4,76978.0,76595.7,76872.8,2806.705,2026-07-19 04:59:59.999000+00:00,215641114.1,92894,1560.743,119928478.3,0
2026-07-19 05:00:00+00:00,76872.8,77070.4,76846.9,76985.2,2999.916,2026-07-19 05:59:59.999000+00:00,230894105.2,81326,1588.152,122234222.0,0
2026-07-19 06:00:00+00:00,76985.1,77247.7,76929.5,77200.4,4023.829,2026-07-19 06:59:59.999000+00:00,310355573.4,99431,2187.414,168706223.7,0
2026-07-19 07:00:00+00:00,77200.4,77291.3,76932.0,77015.8,3821.06,2026-07-19 07:59:59.999000+00:00,294579236.8,102734,1802.864,138999460.7,0
2026-07-19 08:00:00+00:00,77015.9,77047.4,76671.1,76787.4,4536.807,2026-07-19 08:59:59.999000+00:00,348515832.4,114223,2122.095,163002160.5,0
2026-07-19 09:00:00+00:00,76787.3,77070.0,76666.0,77005.8,3518.738,2026-07-19 09:59:59.999000+00:00,270366504.5,99757,1672.531,128521698.1,0
2026-07-19 10:00:00+00:00,77005.8,77039.1,76576.8,76677.1,3674.566,2026-07-19 10:59:59.999000+00:00,282144583.3,84907,1739.612,133569654.2,0
2026-07-19 11:00:00+00:00,76677.0,76947.5,76609.5,76901.3,2310.159,2026-07-19 11:59:59.999000+00:00,177430467.4,68219,1169.119,89794441.63,0
2026-07-19 12:00:00+00:00,76901.2,77033.9,76556.0,76846.1,7623.165,2026-07-19 12:59:59.999000+00:00,585449302.3,238482,3782.851,290522872.0,0
2026-07-19 13:00:00+00:00,76846.1,76981.4,76107.1,76365.7,14484.518,2026-07-19 13:59:59.999000+00:00,1107352000.0,348272,6663.037,509358228.0,0
2026-07-19 14:00:00+00:00,76365.6,76650.0,76302.7,76487.9,7036.931,2026-07-19 14:59:59.999000+00:00,538233854.2,164953,3014.293,230572817.9,0
2026-07-19 15:00:00+00:00,76488.0,76888.0,76377.0,76858.3,6217.088,2026-07-19 15:59:59.999000+00:00,476363007.1,136523,3334.106,255572496.9,0
2026-07-19 16:00:00+00:00,76858.4,76992.6,76720.5,76821.2,4679.182,2026-07-19 16:59:59.999000+00:00,359678227.4,138898,1983.266,152462746.6,0
2026-07-19 17:00:00+00:00,76821.1,76916.1,76704.8,76764.2,2165.322,2026-07-19 17:59:59.999000+00:00,166318419.1,77137,923.848,70961337.55,0
2026-07-19 18:00:00+00:00,76764.2,77042.3,76720.9,76780.0,2209.798,2026-07-19 18:59:59.999000+00:00,169891513.4,84907,1145.26,88052072.85,0
2026-07-19 19:00:00+00:00,76780.0,77000.0,76780.0,76976.3,1046.262,2026-07-19 19:59:59.999000+00:00,80470876.79,36140,500.674,38508546.03,0
2026-07-19 20:00:00+00:00,76976.4,77003.1,76929.6,76942.4,1005.069,2026-07-19 20:59:59.999000+00:00,77363409.88,30745,493.077,37953864.2,0
2026-07-19 21:00:00+00:00,76942.4,76942.5,76610.4,76676.1,2919.944,2026-07-19 21:59:59.999000+00:00,224067678.0,83572,1287.925,98811768.84,0
2026-07-19 22:00:00+00:00,76676.0,76948.1,76633.0,76799.9,1546.281,2026-07-19 22:59:59.999000+00:00,118783271.7,50403,844.704,64899329.77,0
2026-07-19 23:00:00+00:00,76800.0,76863.4,76485.0,76760.9,3965.277,2026-07-19 23:59:59.999000+00:00,303929558.5,115544,1707.538,130872827.8,0
2026-07-20 00:00:00+00:00,76761.0,76900.0,76501.8,76787.5,5182.516,2026-07-20 00:59:59.999000+00:00,397415291.6,131847,2023.455,155183397.8,0
2026-07-20 01:00:00+00:00,76787.5,76880.0,76563.1,76654.5,3578.599,2026-07-20 01:59:59.999000+00:00,274456239.9,87293,1409.584,108075218.4,0
2026-07-20 02:00:00+00:00,76654.5,76795.0,76573.9,76689.6,1991.117,2026-07-20 02:59:59.999000+00:00,152687579.7,66949,913.483,70045955.3,0
2026-07-20 03:00:00+00:00,76689.6,76814.6,76650.0,76748.1,1955.352,2026-07-20 03:59:59.999000+00:00,150080942.2,53889,855.778,65680760.42,0
2026-07-20 04:00:00+00:00,76748.1,77300.0,76748.0,77170.4,8685.078,2026-07-20 04:59:59.999000+00:00,669882762.1,163564,5065.707,390640825.2,0
2026-07-20 05:00:00+00:00,77170.3,77387.9,77153.4,77379.8,3653.484,2026-07-20 05:59:59.999000+00:00,282301165.5,86523,2375.13,183524288.0,0
2026-07-20 06:00:00+00:00,77379.9,77444.0,77208.3,77249.9,4258.277,2026-07-20 06:59:59.999000+00:00,329277419.0,82433,2099.306,162340611.4,0
2026-07-20 07:00:00+00:00,77250.0,77612.0,77170.3,77430.0,6800.627,2026-07-20 07:59:59.999000+00:00,526492276.7,113312,3852.059,298250799.8,0
2026-07-20 08:00:00+00:00,77430.1,77516.0,77333.9,77449.9,4113.947,2026-07-20 08:59:59.999000+00:00,318554703.8,69817,1832.552,141906677.6,0
2026-07-20 09:00:00+00:00,77450.0,77639.3,77450.0,77475.8,2665.45,2026-07-20 09:59:59.999000+00:00,206712201.3,60657,1511.895,117255837.5,0
2026-07-20 10:00:00+00:00,77475.8,77530.0,77286.1,77351.2,2758.672,2026-07-20 10:59:59.999000+00:00,213543212.2,56763,1130.024,87465279.98,0
